"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 12, 2021","1,646.92","1,642.10","1,646.92","1,617.75","207.83M","0.29%"
"Jan 11, 2021","1,642.10","1,641.17","1,642.27","1,639.23","113.14M","0.07%"
"Jan 08, 2021","1,641.03","1,657.19","1,659.38","1,633.70","195.93M","-0.97%"
"Jan 07, 2021","1,657.11","1,650.72","1,658.59","1,642.43","157.16M","0.43%"
"Jan 06, 2021","1,650.03","1,647.92","1,650.72","1,647.09","126.07M","0.13%"
"Jan 05, 2021","1,647.92","1,685.63","1,685.63","1,634.66","282.53M","-2.38%"
"Jan 04, 2021","1,688.03","1,641.01","1,688.48","1,641.01","92.51M","2.92%"
"Dec 31, 2020","1,640.11","1,603.86","1,640.48","1,603.46","325.56M","2.27%"
"Dec 30, 2020","1,603.71","1,583.79","1,608.48","1,583.37","247.74M","1.26%"
"Dec 29, 2020","1,583.79","1,568.43","1,584.92","1,567.05","177.81M","0.99%"
"Dec 24, 2020","1,568.25","1,569.31","1,572.23","1,568.25","300.29M","-0.07%"
"Dec 23, 2020","1,569.31","1,551.87","1,569.59","1,551.85","234.28M","1.12%"
"Dec 22, 2020","1,551.87","1,528.89","1,554.50","1,528.72","267.59M","1.50%"
"Dec 21, 2020","1,528.89","1,496.85","1,531.84","1,496.85","122.62M","2.12%"
"Dec 18, 2020","1,497.16","1,470.61","1,497.34","1,470.61","148.62M","1.81%"
"Dec 17, 2020","1,470.61","1,458.51","1,470.61","1,458.51","212.94M","0.83%"
"Dec 16, 2020","1,458.51","1,445.29","1,461.28","1,445.16","107.99M","0.91%"
"Dec 15, 2020","1,445.29","1,426.31","1,445.29","1,425.97","164.47M","1.33%"
"Dec 14, 2020","1,426.31","1,419.60","1,427.47","1,417.30","118.19M","0.48%"
"Dec 11, 2020","1,419.46","1,437.90","1,442.26","1,415.82","232.41M","-1.28%"
"Dec 10, 2020","1,437.90","1,457.82","1,457.82","1,434.06","334.80M","-1.37%"
"Dec 09, 2020","1,457.82","1,458.08","1,458.74","1,456.87","167.76M","-0.02%"
"Dec 08, 2020","1,458.08","1,459.61","1,460.52","1,457.48","243.29M","-0.10%"
"Dec 07, 2020","1,459.61","1,463.33","1,463.47","1,459.61","237.59M","-0.25%"
"Dec 04, 2020","1,463.33","1,473.62","1,473.77","1,447.57","192.30M","-0.70%"
"Dec 03, 2020","1,473.62","1,477.89","1,484.24","1,472.79","189.41M","-0.29%"
"Dec 02, 2020","1,477.89","1,481.98","1,483.00","1,476.61","273.76M","-0.28%"
"Dec 01, 2020","1,481.98","1,476.83","1,484.69","1,476.83","185.91M","0.37%"
"Nov 30, 2020","1,476.52","1,487.64","1,487.64","1,474.97","177.12M","-0.75%"
"Nov 27, 2020","1,487.64","1,483.78","1,487.64","1,480.96","102.70M","0.26%"
"Nov 26, 2020","1,483.78","1,482.56","1,487.83","1,482.56","167.03M","0.08%"
"Nov 25, 2020","1,482.56","1,467.19","1,487.71","1,467.19","261.93M","1.24%"
"Nov 24, 2020","1,464.47","1,454.68","1,464.62","1,454.37","248.97M","0.61%"
"Nov 23, 2020","1,455.53","1,461.20","1,468.87","1,437.34","425.07M","-0.51%"
"Nov 20, 2020","1,462.93","1,487.47","1,488.33","1,458.87","220.97M","-1.65%"
"Nov 19, 2020","1,487.47","1,497.37","1,500.05","1,487.08","220.94M","-0.65%"
"Nov 18, 2020","1,497.20","1,468.59","1,497.92","1,468.07","372.13M","1.95%"
"Nov 17, 2020","1,468.59","1,494.79","1,494.79","1,463.53","327.32M","-1.83%"
"Nov 16, 2020","1,495.89","1,509.40","1,519.43","1,494.06","421.12M","-0.90%"
"Nov 13, 2020","1,509.40","1,536.55","1,555.05","1,485.22","748.21M","-1.76%"
"Nov 12, 2020","1,536.47","1,449.37","1,536.47","1,449.37","794.39M","6.09%"
"Nov 11, 2020","1,448.22","1,419.76","1,448.22","1,415.86","534.76M","2.00%"
"Nov 10, 2020","1,419.76","1,402.36","1,419.76","1,401.32","412.88M","1.24%"
"Nov 09, 2020","1,402.36","1,342.41","1,402.36","1,342.41","495.55M","4.47%"
"Nov 06, 2020","1,342.41","1,328.86","1,342.41","1,317.02","402.64M","1.02%"
"Nov 05, 2020","1,328.86","1,329.11","1,330.58","1,328.08","321.55M","-0.02%"
"Nov 04, 2020","1,329.11","1,329.19","1,330.62","1,328.80","232.52M","-0.01%"
"Nov 03, 2020","1,329.19","1,316.82","1,329.24","1,313.15","253.28M","0.94%"
"Nov 02, 2020","1,316.82","1,319.30","1,320.44","1,311.33","289.46M","-0.20%"
"Oct 30, 2020","1,319.45","1,265.91","1,319.45","1,265.91","654.63M","4.24%"
"Oct 28, 2020","1,265.82","1,243.37","1,266.20","1,242.86","278.70M","1.81%"
"Oct 27, 2020","1,243.37","1,234.26","1,243.37","1,234.14","285.01M","0.74%"
"Oct 26, 2020","1,234.26","1,230.28","1,234.26","1,229.70","231.47M","0.32%"
"Oct 23, 2020","1,230.28","1,223.70","1,230.75","1,223.53","257.92M","0.54%"
"Oct 22, 2020","1,223.70","1,218.60","1,223.87","1,216.81","261.90M","0.42%"
"Oct 21, 2020","1,218.60","1,227.92","1,227.92","1,208.85","221.50M","-0.84%"
"Oct 20, 2020","1,228.96","1,228.30","1,231.55","1,224.32","203.08M","0.05%"
"Oct 19, 2020","1,228.30","1,228.07","1,229.55","1,224.98","212.12M","-0.02%"
"Oct 16, 2020","1,228.52","1,212.31","1,229.52","1,210.70","368.57M","1.34%"
"Oct 15, 2020","1,212.31","1,212.77","1,213.28","1,211.64","274.05M","0.00%"
"Oct 14, 2020","1,212.28","1,212.23","1,213.96","1,211.72","174.00M","0.00%"
"Oct 13, 2020","1,212.23","1,211.79","1,212.46","1,209.79","233.69M","0.04%"
"Oct 12, 2020","1,211.79","1,215.54","1,216.83","1,203.27","308.01M","-0.31%"
"Oct 09, 2020","1,215.54","1,221.89","1,230.70","1,213.09","280.18M","-0.52%"
"Oct 08, 2020","1,221.89","1,229.89","1,231.42","1,217.94","311.35M","-0.65%"
"Oct 07, 2020","1,229.89","1,245.31","1,255.87","1,222.47","661.43M","-1.09%"
"Oct 06, 2020","1,243.50","1,176.98","1,243.50","1,176.98","614.74M","5.68%"
"Oct 05, 2020","1,176.63","1,157.30","1,177.02","1,157.30","502.92M","1.76%"
"Oct 02, 2020","1,156.24","1,148.54","1,156.24","1,148.48","399.98M","0.65%"
"Sep 30, 2020","1,148.83","1,137.77","1,150.12","1,137.77","258.35M","0.97%"
"Sep 29, 2020","1,137.77","1,132.78","1,137.77","1,128.42","354.47M","0.44%"
"Sep 28, 2020","1,132.78","1,123.50","1,132.98","1,123.50","297.09M","0.83%"
"Sep 25, 2020","1,123.50","1,105.44","1,123.89","1,105.44","285.96M","1.63%"
"Sep 24, 2020","1,105.44","1,095.08","1,107.17","1,095.08","289.88M","0.95%"
"Sep 23, 2020","1,095.08","1,088.87","1,095.26","1,088.11","375.42M","0.57%"
"Sep 22, 2020","1,088.87","1,085.20","1,088.87","1,082.91","181.33M","0.34%"
"Sep 21, 2020","1,085.20","1,085.51","1,086.67","1,084.68","104.71M","-0.03%"
"Sep 18, 2020","1,085.51","1,083.58","1,085.51","1,082.19","137.73M","0.18%"
"Sep 17, 2020","1,083.58","1,084.60","1,084.82","1,082.43","168.65M","-0.13%"
"Sep 16, 2020","1,085.03","1,087.04","1,087.42","1,083.94","155.50M","-0.18%"
"Sep 15, 2020","1,087.04","1,087.39","1,087.91","1,085.87","183.43M","-0.03%"
"Sep 14, 2020","1,087.39","1,086.63","1,087.85","1,085.92","202.14M","0.07%"
"Sep 11, 2020","1,086.63","1,084.07","1,086.64","1,083.64","145.97M","0.24%"
"Sep 10, 2020","1,084.07","1,079.43","1,085.08","1,078.34","146.77M","0.43%"
"Sep 09, 2020","1,079.43","1,082.76","1,082.87","1,078.91","181.63M","-0.32%"
"Sep 08, 2020","1,082.94","1,087.57","1,087.93","1,082.61","195.84M","-0.41%"
"Sep 07, 2020","1,087.39","1,088.70","1,089.93","1,087.00","194.63M","-0.12%"
"Sep 04, 2020","1,088.70","1,085.42","1,089.37","1,085.02","267.90M","0.41%"
"Sep 03, 2020","1,084.22","1,082.08","1,084.22","1,082.08","98.94M","0.20%"
"Sep 02, 2020","1,082.08","1,079.07","1,082.08","1,078.26","74.65M","0.23%"
"Sep 01, 2020","1,079.57","1,075.71","1,079.89","1,075.71","-","0.36%"
"Aug 31, 2020","1,075.71","1,074.28","1,076.06","1,073.78","90.75M","0.11%"
"Aug 28, 2020","1,074.57","1,074.24","1,074.75","1,073.70","78.50M","0.06%"
"Aug 27, 2020","1,073.90","1,075.65","1,075.65","1,073.59","93.05M","-0.16%"
"Aug 26, 2020","1,075.65","1,074.13","1,075.81","1,073.55","126.62M","0.16%"
"Aug 25, 2020","1,073.96","1,070.03","1,073.96","1,069.37","92.46M","0.37%"
"Aug 24, 2020","1,070.03","1,069.73","1,070.03","1,066.60","123.07M","0.03%"
"Aug 21, 2020","1,069.73","1,069.28","1,072.75","1,069.28","95.78M","0.04%"
"Aug 20, 2020","1,069.28","1,067.81","1,069.28","1,067.65","88.66M","0.15%"
"Aug 19, 2020","1,067.65","1,065.69","1,067.82","1,065.41","116.80M","0.18%"
"Aug 18, 2020","1,065.69","1,065.35","1,065.69","1,064.34","161.15M","0.01%"
"Aug 17, 2020","1,065.56","1,067.29","1,069.95","1,065.56","113.42M","-0.16%"
"Aug 14, 2020","1,067.29","1,068.84","1,068.84","1,065.56","306.61M","-0.15%"
"Aug 13, 2020","1,068.84","1,064.14","1,068.98","1,060.45","82.60M","0.44%"
"Aug 12, 2020","1,064.14","1,062.52","1,064.64","1,061.08","167.53M","0.15%"
"Aug 11, 2020","1,062.52","1,069.81","1,071.78","1,059.65","143.17M","-0.68%"
"Aug 10, 2020","1,069.81","1,070.58","1,070.72","1,065.97","109.98M","-0.07%"
"Aug 07, 2020","1,070.58","1,065.35","1,070.87","1,065.35","124.18M","0.56%"
"Aug 06, 2020","1,064.64","1,062.41","1,064.73","1,059.28","115.34M","0.21%"
"Aug 05, 2020","1,062.41","1,060.79","1,063.85","1,060.79","252.47M","0.15%"
"Aug 04, 2020","1,060.79","1,057.31","1,061.79","1,057.26","89.72M","0.33%"
"Aug 03, 2020","1,057.31","1,054.08","1,057.76","1,053.41","115.21M","0.39%"
"Jul 29, 2020","1,053.21","1,051.17","1,054.42","1,050.99","65.17M","0.19%"
"Jul 28, 2020","1,051.17","1,058.94","1,058.94","1,051.00","88.72M","-0.66%"
"Jul 27, 2020","1,058.16","1,040.14","1,059.75","1,040.14","116.80M","1.73%"
"Jul 24, 2020","1,040.14","1,043.21","1,044.30","1,037.88","131.00M","-0.29%"
"Jul 23, 2020","1,043.21","1,026.26","1,048.53","1,026.12","132.81M","1.65%"
